date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:45:39	2404/2404	---M--	200	added ('OK')	text/plain	etag:%22964-5eaf17547f636%22	https://www.afbank.com/robots.txt		(from )
00:45:40	68476/68476	---MC-	200	added ('OK')	text/html	date:Wed,%2021%20Dec%202022%2023:45:00%20GMT	https://www.afbank.com/	C:/Users/USER/Desktop/download/Test/www.afbank.com/index.html	(from )
00:45:41	7524/7524	---M--	200	added ('OK')	image/png	etag:%221d64-591e6d992e145%22	https://www.afbank.com/sites/default/files/favicons/apple-touch-icon.png	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/default/files/favicons/apple-touch-icon.png	(from https://www.afbank.com/)
00:45:41	1328/1328	---M--	200	added ('OK')	image/png	etag:%22530-591e6d992e52d%22	https://www.afbank.com/sites/default/files/favicons/favicon-32x32.png	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/default/files/favicons/favicon-32x32.png	(from https://www.afbank.com/)
00:45:42	893/893	---M--	200	added ('OK')	image/png	etag:%2237d-591e6d992e145%22	https://www.afbank.com/sites/default/files/favicons/favicon-16x16.png	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/default/files/favicons/favicon-16x16.png	(from https://www.afbank.com/)
00:45:43	426/426	---M--	200	added ('OK')	text/html	etag:%221aa-591e6d992e52d%22	https://www.afbank.com/sites/default/files/favicons/site.webmanifest	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/default/files/favicons/site.html	(from https://www.afbank.com/)
00:45:43	993/993	---M--	200	added ('OK')	image/svg+xml	etag:%223e1-591e6d992e52d%22	https://www.afbank.com/sites/default/files/favicons/safari-pinned-tab.svg	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/default/files/favicons/safari-pinned-tab.svg	(from https://www.afbank.com/)
00:45:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Dec%202022%2023:45:05%20GMT	https://www.afbank.com/content/academy-bank-personal-banking	C:/Users/USER/Desktop/download/Test/www.afbank.com/content/academy-bank-personal-banking	(from https://www.afbank.com/)
00:45:44	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Dec%202022%2023:45:05%20GMT	https://www.afbank.com/node/1	C:/Users/USER/Desktop/download/Test/www.afbank.com/node/1	(from https://www.afbank.com/)
00:45:45	3008/3008	---M--	200	added ('OK')	text/css	etag:%22bc0-5f059acf47142%22	https://www.afbank.com/sites/default/files/css/css_lQaZfjVpwP_oGNqdtWCSpJT1EMqXdMiU84ekLLxQnc4.css	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/default/files/css/css_lQaZfjVpwP_oGNqdtWCSpJT1EMqXdMiU84ekLLxQnc4.css	(from https://www.afbank.com/)
00:45:45	8315/8315	---M--	200	added ('OK')	text/css	etag:%22207b-5f059acf622e4%22	https://www.afbank.com/sites/default/files/css/css_oBwGDoWfw2LGYiJq9tGBRWJRpGOTY-MW07OlhvYxdZo.css	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/default/files/css/css_oBwGDoWfw2LGYiJq9tGBRWJRpGOTY-MW07OlhvYxdZo.css	(from https://www.afbank.com/)
00:45:46	3062/3062	---M--	200	added ('OK')	text/css	etag:%22bf6-5f059acf70d4a%22	https://www.afbank.com/sites/default/files/css/css_Uo5qtFXmJndgr8iALFy89hNs1NQwPGa00wwbFuL2w2c.css	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/default/files/css/css_Uo5qtFXmJndgr8iALFy89hNs1NQwPGa00wwbFuL2w2c.css	(from https://www.afbank.com/)
00:45:47	345617/345617	---M--	200	added ('OK')	text/css	etag:%2254611-5ef54e12813d6%22	https://www.afbank.com/sites/default/files/css/css_M1mphJAkJtt4gmrQjMFDQPN0tSuq7in6mWBi_51kpjQ.css	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/default/files/css/css_M1mphJAkJtt4gmrQjMFDQPN0tSuq7in6mWBi_51kpjQ.css	(from https://www.afbank.com/)
00:45:48	375/375	---M--	200	added ('OK')	application/x-javascript	etag:%22177-5f059acf999b2%22	https://www.afbank.com/sites/default/files/js/js_c8rhwVo0AtwnfOYOjt3D4RPjondsx-sPqSnJaJWbUx4.js	C:/Users/USER/Desktop/download/Test/www.afbank.com/sites/default/files/js/js_c8rhwVo0AtwnfOYOjt3D4RPjondsx-sPqSnJaJWbUx4.js	(from https://www.afbank.com/)
